Hastane,Toplantı No,Toplantı Tarihi,Alınan Kararlar,İlgii Kategori,Sorumlu,Mevcut Durum,Termin,Tamamlanma Tarihi,Sonuç / Açıklama / Değerlendirme,Öncelik Seviyesi
Liv Ankara,2026-05,5/22/26,Mayıs ayı içerisinde isg eğitimleri personel devir hızının yükselmesi dolayısıyla yeterli sayıda gerçekleştirilememiştir. Çalışanlar alanlardan ayrılamadığını bildirerek planlanan eğitimlere katılamamıştır. Eğitim alan çalışan sayısı yetersiz kalmıştır.,Diğer,Tüm Birimler,Tamamlandı,5/22/26,5/22/26,,Orta
Liv Ankara,2026-05,5/22/26,Hastane afet planı masa başı tatbikatı genel yoğun bakımda kırmızı ve sarı kod planlanarak yapılmıştır. İl Sağlık Müdürlüğü tarafından tatbikat beğenilmiş ve uygunsuzluk olmadığı iletilmiştir.,Diğer,Tüm Birimler,Tamamlandı,5/22/26,5/22/26,,Yüksek Riskli
Liv Ankara,2026-05,5/22/26,Legionella testi için numune örneği Çankaya İl sağlık Müdürlüğü tarafından alınmıştır. Numune sonuçları negatif gelmiştir.,Altyapı,Tüm Birimler,Tamamlandı,5/22/26,5/22/26,,Orta
Liv Ankara,2026-05,5/22/26,Soyunma odalarında bir çok dolabın kapağı açık bırakılmış ve boş dolaplar tespit edilmiştir. Dolaplar ile ilgili çalışma başlatılarak kilidi olmayan kullanılmayan dolapların tespit edilmesine karar verilmiştir.,Güvenlik,Tüm Birimler,Tamamlandı,6/10/26,6/10/26,,Düşük
Liv Ankara,2026-05,5/22/26,"ISS temizlik personellerinin ISG kurallarına uyumu azalmıştır. Atık toplama, KKD kullanımı, kimyasal etiketlemeleri konusunda uygunsuzluklar tespit edilmektedir. Firmanın dışardan taşeron olarak sahada çalıştırdığı çalışanlar konusunda sıkıntı yaşandığı bildirilmiştir. Eğitimlerinin artırılmasına karar verilmiştir.",Diğer,Tüm Birimler,Devam Ediyor,6/10/26,,,Yüksek Riskli
Liv Ankara,2026-05,5/22/26,"Hastane geneli dolum tarihi gelen yangın söndürme tüpleri doluma gönderilmiştir. Yangın söndürme tüpleri, davlumbaz otomatik söndürme sistemi, FM200 ve selfex tüplerin bakımı yaptırılmıştır. B1. kat pano odasında selfex hortumunun yandığı tespit edilmiştir. Değişimi yapıldı.",Yangın Güvenliği,Tüm Birimler,Tamamlandı,5/22/26,5/22/26,,Kritik
Liv Ankara,2026-05,5/22/26,Yangın sistemi bina geneli dedektör ve tüm butonlardan test alarmı verilmiştir Sistem backup alınmıştır. Bakımları tamamlanmıştır. Yangın otomasyon sistemi tatbikatı yapılmıştır. 3 yangın perdeleme kapısı kapanmamaıştır. Otomatik tutucularının kırık olduğu dolayısıyla kapılar kendiliğinden kapanmamıştır. Kapıların otomatik tutucuları değiştirilmiştir.,Yangın Güvenliği,Tüm Birimler,Tamamlandı,5/22/26,5/22/26,,Kritik
Liv Ankara,2026-06,6/29/26,Haziran ayı içerisinde isg eğitimleri personel devir hızının yükselmesi dolayısıyla yeterli sayıda gerçekleştirilememiştir. Çalışanlar alanlardan ayrılamadığını bildirerek planlanan eğitimlere katılamamıştır. Eğitim alan çalışan sayısı yetersiz kalmıştır.,Diğer,Tüm Birimler,Tamamlandı,6/29/26,6/29/26,,Orta
Liv Ankara,2026-06,6/29/26,11. Kat Faz1 Klinik araştırma merkezinde yangın tatbikatı yapılmıştır. Tatbikatta yatay tahliye yapılmıştır. Dikey tahliyenin de yapılmasına karar verilmiştir.,Diğer,Tüm Birimler,Devam Ediyor,9/1/26,,,Kritik
Liv Ankara,2026-06,6/29/26,"Sivil Savunma Planı hazırlanarak, servislerin kullanması gereken ekipmanların tamamlanması gerekmektedir.",Diğer,Tüm Birimler,Devam Ediyor,12/1/26,,,Düşük
Liv Ankara,2026-06,6/29/26,Dış cephe temizliği yaptırılmıştır. ISG kurallarına uygun yapılan temizlik problem olmadan tamamlanmıştır.,Diğer,Tüm Birimler,Tamamlandı,6/29/26,6/29/26,,Orta
Liv Ankara,2026-06,6/29/26,Teknik denetim firması yıllık periyodik bakımları yapmıştır. Eksikler rapor teslim edildiğinde değerlendirilecektir.,Altyapı,Tüm Birimler,Devam Ediyor,9/1/26,,,Yüksek Riskli
Liv Ankara,2026-06,6/29/26,"B2. Kat ve Zemin katta yangın kapılarının dışa açılması dolayısıyla, kapılar açıldığında çarpma riski yaşanmaktadır. Zemine uyarı görseli hazırlanarak çarpaların önüne geçilmesi gerekmektedir.",Diğer,Tüm Birimler,Devam Ediyor,8/1/26,,,Kritik
Liv Ankara,2026-06,6/29/26,Çalışan sayımızın 500 ün üstüne çıkması gerekçesiyle yarı zamanlı ISG uzmanı alımı yapılmalıdır.,Diğer,Tüm Birimler,Devam Ediyor,8/1/26,,,Orta
Liv Ankara,2026-06,6/29/26,Trafo odasının fan sisteminde arıza bulunması kaynaklı ortam denetleme modülleri sürekli yüksek sıcaklık uyarısı vermektedir. (45-47 derece) Arızanın acilen giderilmesine karar verilmiştir.,Diğer,Tüm Birimler,Devam Ediyor,8/1/26,,,Kritik
Liv Ankara,2026-06,6/29/26,FM200 bulunan tüm alanların sızdırmazlık testlerinin yapılması gerekmektedir. Merkez ile görüşülerek sürecin değerlendirilmesine karar verildi.,Yangın Güvenliği,Tüm Birimler,Devam Ediyor,8/1/26,,,Kritik
VM MP Bursa,2026-01,1/28/26,"Destek ekiplerinin oluşturulmasının, çalışanlara resmi olarak duyurulmasının ve ilgili eğitimlerin zamanında verilmesinin iş sağlığı ve güvenliği açısından kritik olduğu değerlendirilmiştir. Destek ekiplerinin belirlenmesi, çalışanlara tebliğ edilmesi ve gerekli eğitim organizasyonlarının İnsan Kaynakları Birimi tarafından planlanarak yürütülmesine karar verilmiştir.",Acil Durum Yönetimi,İnsan Kaynakları,Devam Ediyor,2/28/26,,,Kritik
